flight_number,airline_name,departure_airport,departure_city,departure_country,arrival_airport,arrival_city,duration_hours,departure_time,arrival_time
AZ7460,Alitalia,Leonardo da Vinci International,Rome,Italy,Cairo International,Cairo,15,8/1/2022,10/11/2022
AF8946,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,10,2/8/2022,8/20/2022
AI5177,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,9,7/5/2022,9/19/2022
LH2858,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,5,11/9/2022,3/5/2022
AC9192,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,20,8/7/2022,11/2/2022
AF5555,Air France,Charles de Gaulle,Paris,France,Hong Kong International,Hong Kong,13,10/23/2022,4/28/2022
BA7332,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,14,12/27/2022,10/30/2022
EK6720,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,17,7/18/2022,4/25/2022
NH8558,All Nippon Airways,Haneda,Tokyo,Japan,Dubai International,Dubai,10,7/25/2022,6/15/2022
LH6171,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,3,12/5/2022,1/8/2022
NH9924,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,3,11/24/2022,10/6/2022
AZ6961,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,9,11/25/2022,11/30/2022
AM5280,Aeroméxico,Benito Juárez International,Mexico City,Mexico,Leonardo da Vinci International,Rome,1,8/18/2022,3/14/2022
AC8457,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,2,3/26/2022,12/23/2022
KE7452,Korean Air,Incheon International,Seoul,South Korea,Benito Juárez International,Mexico City,5,2/8/2022,6/11/2022
CX9953,Cathay Pacific,Hong Kong International,Hong Kong,China,Sydney Airport,Sydney,9,6/16/2022,11/29/2022
KL7028,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,10,1/15/2022,5/24/2022
AA6083,American Airlines,John F. Kennedy International,New York,USA,Stockholm Arlanda,Stockholm,13,6/15/2022,4/18/2022
QF7218,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,19,5/25/2022,8/1/2022
NZ6947,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,3,5/11/2022,4/15/2022
WN8004,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,1,6/4/2022,1/17/2022
UA7314,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,8,6/9/2022,6/1/2022
CX7004,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,20,12/22/2022,11/15/2022
KE6091,Korean Air,Incheon International,Seoul,South Korea,Amsterdam Airport Schiphol,Amsterdam,5,6/4/2022,3/2/2022
AA2860,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,7,9/15/2022,9/24/2022
SA5420,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,18,6/17/2022,4/9/2022
AA8361,American Airlines,John F. Kennedy International,New York,USA,Toronto Pearson,Toronto,20,11/17/2022,8/26/2022
NZ4558,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,19,9/15/2022,3/31/2022
QR6945,Qatar Airways,Hamad International,Doha,Qatar,Adolfo Suárez Madrid–Barajas,Madrid,19,11/26/2022,2/13/2022
LA9571,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,3,11/28/2022,4/7/2022
IB4174,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,22,6/11/2022,10/7/2022
UA8267,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,16,6/28/2022,3/5/2022
NZ5604,Air New Zealand,Auckland Airport,Auckland,New Zealand,São Paulo/Guarulhos International,São Paulo,18,5/14/2022,7/17/2022
IB2906,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,10,12/2/2022,1/26/2022
LA9192,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Logan International,Boston,5,5/14/2022,8/26/2022
SQ6228,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,20,6/17/2022,8/23/2022
AM3516,Aeroméxico,Benito Juárez International,Mexico City,Mexico,Dallas/Fort Worth International,Dallas,20,7/7/2022,12/7/2022
NH2762,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,17,6/3/2022,10/16/2022
AA1670,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,24,2/19/2022,11/12/2022
QR8304,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,2,7/14/2022,10/9/2022
KE3006,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,13,12/4/2022,2/24/2022
KL5923,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,8,3/2/2022,4/18/2022
LH6645,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Brisbane Airport,Brisbane,22,1/14/2022,2/19/2022
AV5379,Avianca,El Dorado International,Bogotá,Colombia,Jorge Chávez International,Lima,14,8/21/2022,7/31/2022
NZ5969,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,17,7/15/2022,7/21/2022
AI8973,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,23,2/5/2022,11/26/2022
IB4194,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,7,9/7/2022,2/5/2022
EK2258,Emirates,Dubai International,Dubai,UAE,Adolfo Suárez Madrid–Barajas,Madrid,9,8/6/2022,1/23/2022
SQ7065,Singapore Airlines,Changi,Singapore,Singapore,Haneda,Tokyo,23,2/15/2022,7/18/2022
WN6726,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,22,6/7/2022,4/24/2022
SK7103,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Dubai International,Dubai,23,10/5/2022,12/19/2022
WN1051,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,12,9/7/2022,4/30/2022
BA9701,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,10,1/10/2022,5/29/2022
AA6633,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,24,9/24/2022,12/12/2022
DL8564,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,18,1/31/2022,11/15/2022
QF6015,Qantas,Sydney Airport,Sydney,Australia,Hartsfield-Jackson Atlanta,Atlanta,11,1/13/2022,11/2/2022
QR6530,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,6,7/25/2022,11/3/2022
ET1693,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,24,10/5/2022,12/30/2022
KE7499,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,8,11/28/2022,12/4/2022
QR6944,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,18,12/5/2022,1/6/2022
IB5239,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Amsterdam Airport Schiphol,Amsterdam,12,10/23/2022,5/26/2022
AV1063,Avianca,El Dorado International,Bogotá,Colombia,Changi,Singapore,20,6/21/2022,4/25/2022
NH7193,All Nippon Airways,Haneda,Tokyo,Japan,Cairo International,Cairo,15,2/15/2022,2/23/2022
KE2503,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,17,1/17/2022,3/12/2022
SA1511,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,13,2/28/2022,7/8/2022
AV7683,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,15,1/29/2022,9/20/2022
QF3279,Qantas,Sydney Airport,Sydney,Australia,Beijing Capital International,Beijing,4,11/20/2022,4/21/2022
KE1048,Korean Air,Incheon International,Seoul,South Korea,Hong Kong International,Hong Kong,19,4/26/2022,4/1/2022
WN2195,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,6,1/31/2022,1/6/2022
SQ8216,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,6,1/16/2022,2/23/2022
WN7820,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,4,6/30/2022,5/19/2022
CX7350,Cathay Pacific,Hong Kong International,Hong Kong,China,Chhatrapati Shivaji International,Mumbai,18,10/27/2022,4/6/2022
DL4833,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,2,6/22/2022,3/25/2022
UA1033,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,23,4/22/2022,2/28/2022
LH3554,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,12,4/29/2022,10/24/2022
ET6876,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,20,12/8/2022,7/24/2022
TG7327,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,11,11/16/2022,12/10/2022
UA4772,United Airlines,Los Angeles International,Los Angeles,USA,Denver International,Denver,5,6/3/2022,10/15/2022
NZ2113,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,22,3/27/2022,6/15/2022
AM1632,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,8,5/1/2022,9/3/2022
QF3733,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,17,4/1/2022,1/25/2022
WN2152,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,11,3/5/2022,5/11/2022
KL5358,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,3,11/27/2022,6/28/2022
UA2787,United Airlines,Los Angeles International,Los Angeles,USA,Vancouver International,Vancouver,12,9/29/2022,9/5/2022
KE5876,Korean Air,Incheon International,Seoul,South Korea,Amsterdam Airport Schiphol,Amsterdam,1,3/28/2022,11/29/2022
BA3590,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,15,12/21/2022,5/28/2022
WN5430,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,11,10/24/2022,2/10/2022
TG4753,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Vienna International,Vienna,17,5/29/2022,6/10/2022
NH3518,All Nippon Airways,Haneda,Tokyo,Japan,Indira Gandhi International,Delhi,15,12/30/2022,8/16/2022
AF2581,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,6,6/7/2022,5/7/2022
SA1241,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,19,3/7/2022,8/25/2022
LH5462,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,20,9/25/2022,7/6/2022
WN8141,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,20,6/28/2022,4/13/2022
LH3202,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,6,5/15/2022,4/11/2022
SA9931,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,22,10/22/2022,9/16/2022
QR6498,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,13,9/19/2022,4/15/2022
IB1849,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Chhatrapati Shivaji International,Mumbai,21,2/14/2022,1/30/2022
SA3542,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,5,7/29/2022,12/9/2022
UA7729,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,5,11/28/2022,2/16/2022
AC6500,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,20,10/11/2022,6/2/2022
BA7257,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,15,9/4/2022,5/30/2022
WN3921,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,19,8/17/2022,9/18/2022
SQ1881,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,3,12/9/2022,8/12/2022
CX9614,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,10,10/7/2022,12/2/2022
ET6038,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,1,5/22/2022,11/14/2022
LA7557,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,6,11/23/2022,4/14/2022
LH9879,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,17,10/23/2022,8/29/2022
SA3979,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,4,7/5/2022,11/6/2022
LA9878,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,18,12/21/2022,8/17/2022
QR9778,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,12,12/11/2022,6/8/2022
DL5999,Delta Air Lines,John F. Kennedy International,New York,USA,Los Angeles International,Los Angeles,24,3/16/2022,2/12/2022
SQ8152,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,4,4/18/2022,11/15/2022
KL3414,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,Charles de Gaulle,Paris,24,2/17/2022,9/5/2022
NZ6776,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,14,2/10/2022,11/13/2022
TG4168,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Los Angeles International,Los Angeles,3,2/19/2022,3/21/2022
CX6018,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,24,10/25/2022,1/23/2022
TG6294,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,17,4/12/2022,2/12/2022
SQ2457,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,9,12/21/2022,11/17/2022
AV8325,Avianca,El Dorado International,Bogotá,Colombia,Benito Juárez International,Mexico City,24,12/1/2022,6/2/2022
LA7114,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,17,3/25/2022,7/16/2022
AV5663,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,21,6/13/2022,1/31/2022
EK7739,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,11,3/8/2022,9/29/2022
SA7661,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,6,8/8/2022,8/30/2022
BA7301,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,21,11/1/2022,2/5/2022
AV3279,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,1,10/16/2022,5/7/2022
SA2287,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Copenhagen Airport,Copenhagen,4,7/17/2022,5/31/2022
SA9852,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,3,6/22/2022,4/5/2022
AV6190,Avianca,El Dorado International,Bogotá,Colombia,Jorge Chávez International,Lima,11,6/16/2022,6/19/2022
WN1914,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,4,1/22/2022,2/12/2022
CX2642,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,5,3/30/2022,3/13/2022
UA9032,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,7,3/5/2022,9/11/2022
EK1778,Emirates,Dubai International,Dubai,UAE,Munich Airport,Munich,13,7/6/2022,11/21/2022
SQ8074,Singapore Airlines,Changi,Singapore,Singapore,Beijing Capital International,Beijing,23,5/16/2022,4/18/2022
AZ1037,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,5,10/26/2022,2/14/2022
KE5551,Korean Air,Incheon International,Seoul,South Korea,Kuala Lumpur International,Kuala Lumpur,13,3/4/2022,10/27/2022
WN5788,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,5,4/1/2022,4/15/2022
TG6065,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,14,3/13/2022,6/24/2022
IB8346,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,3,1/20/2022,7/25/2022
SA2968,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Adolfo Suárez Madrid–Barajas,Madrid,10,8/23/2022,4/20/2022
AF7132,Air France,Charles de Gaulle,Paris,France,Melbourne Airport,Melbourne,14,7/17/2022,10/17/2022
SQ5181,Singapore Airlines,Changi,Singapore,Singapore,Hong Kong International,Hong Kong,23,5/8/2022,5/24/2022
SK2755,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,22,5/8/2022,2/27/2022
ET4570,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,20,6/10/2022,11/5/2022
SQ8046,Singapore Airlines,Changi,Singapore,Singapore,Haneda,Tokyo,11,10/18/2022,7/28/2022
KE8445,Korean Air,Incheon International,Seoul,South Korea,Miami International,Miami,7,1/21/2022,2/15/2022
TG9872,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,24,2/6/2022,11/2/2022
DL9764,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,14,9/11/2022,11/3/2022
TG3623,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Chhatrapati Shivaji International,Mumbai,14,7/7/2022,7/5/2022
SA2730,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,23,4/4/2022,2/20/2022
LA8505,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,13,1/27/2022,7/26/2022
SK9897,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Amsterdam Airport Schiphol,Amsterdam,9,2/24/2022,8/12/2022
QR7179,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,24,10/7/2022,12/27/2022
SA1308,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Charles de Gaulle,Paris,10,7/31/2022,4/18/2022
SK1081,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,18,5/15/2022,10/13/2022
LH7008,Lufthansa,Frankfurt Airport,Frankfurt,Germany,Charles de Gaulle,Paris,4,10/6/2022,8/13/2022
LA8240,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Toronto Pearson,Toronto,20,1/11/2022,9/20/2022
NZ4335,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,7,8/21/2022,7/2/2022
AM6788,Aeroméxico,Benito Juárez International,Mexico City,Mexico,Hartsfield-Jackson Atlanta,Atlanta,7,6/19/2022,7/17/2022
AC8181,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,4,9/15/2022,11/15/2022
KE2630,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,18,6/16/2022,7/30/2022
IB3853,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,10,3/23/2022,4/8/2022
NH5711,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,12,10/8/2022,2/6/2022
QF1391,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,10,7/28/2022,2/26/2022
BA1985,British Airways,Heathrow,London,UK,Charles de Gaulle,Paris,9,12/2/2022,9/19/2022
WN4429,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,16,7/7/2022,6/23/2022
AI5145,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,21,12/22/2022,7/8/2022
QR8304,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,11,1/31/2022,3/22/2022
NZ9369,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,14,2/2/2022,1/22/2022
SK4886,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,Charles de Gaulle,Paris,4,10/7/2022,7/3/2022
SQ2983,Singapore Airlines,Changi,Singapore,Singapore,Suvarnabhumi,Bangkok,11,6/10/2022,10/10/2022
AF8661,Air France,Charles de Gaulle,Paris,France,Hong Kong International,Hong Kong,5,1/2/2022,3/21/2022
KE1327,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,14,3/18/2022,10/23/2022
NH4423,All Nippon Airways,Haneda,Tokyo,Japan,Incheon International,Seoul,23,10/31/2022,10/2/2022
KE9657,Korean Air,Incheon International,Seoul,South Korea,Haneda,Tokyo,17,7/10/2022,6/19/2022
QF2308,Qantas,Sydney Airport,Sydney,Australia,Melbourne Airport,Melbourne,5,6/3/2022,12/14/2022
EK9900,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,17,11/16/2022,9/13/2022
AZ7819,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,20,9/28/2022,10/9/2022
TG6129,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,13,1/4/2022,4/12/2022
EK2864,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,8,3/9/2022,1/4/2022
SQ7065,Singapore Airlines,Changi,Singapore,Singapore,Haneda,Tokyo,4,4/25/2022,10/16/2022
IB5628,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Vienna International,Vienna,18,8/22/2022,12/30/2022
ET5456,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,20,1/11/2022,11/22/2022
AM5814,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,3,3/17/2022,5/18/2022
AF2239,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,20,10/15/2022,4/4/2022
AZ1940,Alitalia,Leonardo da Vinci International,Rome,Italy,Charles de Gaulle,Paris,18,7/18/2022,9/15/2022
AA4031,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,12,6/11/2022,9/8/2022
WN4957,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,15,3/2/2022,7/26/2022
IB8511,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,11,6/7/2022,7/27/2022
AA1215,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,20,11/1/2022,11/5/2022
TG2024,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,8,7/9/2022,7/13/2022
AF5668,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,17,11/28/2022,3/14/2022
AZ1933,Alitalia,Leonardo da Vinci International,Rome,Italy,Indira Gandhi International,Delhi,9,5/2/2022,10/26/2022
TG6065,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Changi,Singapore,1,1/5/2022,9/5/2022
IB2973,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,Charles de Gaulle,Paris,7,10/9/2022,8/5/2022
AV6230,Avianca,El Dorado International,Bogotá,Colombia,O'Hare International,Chicago,10,11/23/2022,8/24/2022
WN9145,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,19,7/2/2022,10/5/2022
UA4868,United Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,16,9/8/2022,5/26/2022
LA9967,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Arturo Merino Benítez International,Santiago,5,5/25/2022,2/25/2022
QR2107,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,24,2/6/2022,6/3/2022
CX7274,Cathay Pacific,Hong Kong International,Hong Kong,China,Changi,Singapore,3,8/6/2022,9/15/2022
TG7268,Thai Airways,Suvarnabhumi,Bangkok,Thailand,Sydney Airport,Sydney,21,7/12/2022,12/15/2022
AF5181,Air France,Charles de Gaulle,Paris,France,Frankfurt Airport,Frankfurt,24,2/12/2022,9/24/2022
AM4372,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,18,11/2/2022,3/24/2022
ET4581,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,4,10/3/2022,9/1/2022
NZ3326,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,1,11/26/2022,7/3/2022
AI6039,Air India,Indira Gandhi International,Delhi,India,Kuala Lumpur International,Kuala Lumpur,20,5/3/2022,8/30/2022
AC5532,Air Canada,Toronto Pearson,Toronto,Canada,John F. Kennedy International,New York,8,4/21/2022,10/20/2022
SA8349,South African Airways,O.R. Tambo International,Johannesburg,South Africa,Dallas/Fort Worth International,Dallas,13,5/26/2022,3/22/2022
NZ3376,Air New Zealand,Auckland Airport,Auckland,New Zealand,Brisbane Airport,Brisbane,3,12/1/2022,11/5/2022
DL6355,Delta Air Lines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,15,8/7/2022,5/19/2022
NH7962,All Nippon Airways,Haneda,Tokyo,Japan,Hong Kong International,Hong Kong,15,2/5/2022,8/17/2022
WN1688,Southwest Airlines,Los Angeles International,Los Angeles,USA,San Francisco International,San Francisco,7,9/1/2022,8/5/2022
AI4273,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,1,4/4/2022,5/11/2022
EK6173,Emirates,Dubai International,Dubai,UAE,Hamad International,Doha,19,2/12/2022,8/19/2022
LA8757,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,Ministro Pistarini International,Buenos Aires,13,2/11/2022,12/13/2022
NZ6574,Air New Zealand,Auckland Airport,Auckland,New Zealand,Sydney Airport,Sydney,2,2/25/2022,7/2/2022
QR9968,Qatar Airways,Hamad International,Doha,Qatar,Bole International,Addis Ababa,5,8/9/2022,3/1/2022
AI6849,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,12,10/13/2022,5/12/2022
AA9509,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,9,1/6/2022,8/24/2022
AI4902,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,10,11/23/2022,8/27/2022
AM2354,Aeroméxico,Benito Juárez International,Mexico City,Mexico,O'Hare International,Chicago,20,7/3/2022,9/17/2022
AA1923,American Airlines,John F. Kennedy International,New York,USA,Hartsfield-Jackson Atlanta,Atlanta,5,11/15/2022,11/7/2022
ET6234,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,Hamad International,Doha,3,8/20/2022,11/21/2022
KE4411,Korean Air,Incheon International,Seoul,South Korea,Munich Airport,Munich,9,3/25/2022,6/23/2022
AI6256,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,3,4/22/2022,10/25/2022
AI2550,Air India,Indira Gandhi International,Delhi,India,Chhatrapati Shivaji International,Mumbai,12,10/9/2022,2/13/2022
AC3744,Air Canada,Toronto Pearson,Toronto,Canada,Arturo Merino Benítez International,Santiago,9,11/22/2022,2/6/2022
